人物ID,姓名,姓,名,姓読み,名読み,姓読みソート用,名読みソート用,姓ローマ字,名ローマ字,生年月日,没年月日,人物著作権フラグ
1867,小山清,小山,清,こやま,きよし,こやま,きよし,Koyama,Kiyoshi,1911-10-04,1965-03-06,なし
601,十一谷義三郎,十一谷,義三郎,じゅういちや,ぎさぶろう,しゆういちや,きさふろう,Juichiya,Gisaburo,1897-10-14,1937-04-02,なし
362,コロレンコウラジミール・ガラクティオノヴィチ,コロレンコ,ウラジミール・ガラクティオノヴィチ,コロレンコ,ウラジミール・ガラクティオノヴィチ,ころれんこ,うらしみいるからくていおのういち,Korolenko,Vladimir Galaktionovick,1853-07-15,1921-12-25,なし
1390,金剛巌,金剛,巌,こんごう,いわお,こんこう,いわお,Kongo,Iwao,1886,1951,なし
1471,今野大力,今野,大力,こんの,だいりき,こんの,たいりき,Konno,Dairiki,1904-02-05,1935-06-19,なし
1736,庄野健,庄野,健,しょうの,けん,しようの,けん,Shono,Ken,1955,,あり
1131,新青年編輯局,新青年編輯局,,しんせいねんへんしゅうきょく,,しんせいねんへんしゆうきよく,,Shinseinen henshukyoku,,,,なし
1409,菅野徳助,菅野,徳助,すがの,とくすけ,すかの,とくすけ,Sugano,Tokusuke,,1915-01-13,なし
46,鈴木行三,鈴木,行三,すずき,こうぞう,すすき,こうそう,Suzuki,Kozo,,1962-02-03,なし
1804,三枝博音,三枝,博音,さいぐさ,ひろと,さいくさ,ひろと,Saigusa,Hiroto,1892-05-20,1963-11-09,なし
1806,斉藤弘吉,斉藤,弘吉,さいとう,ひろきち,さいとう,ひろきち,Saito,Hirokichi,1899,1964-09-19,なし
1096,榊亮三郎,榊,亮三郎,さかき,りょうざぶろう,さかき,りようさふろう,Sakaki,Ryozaburo,1872-04-05,1946-08-24,なし
1778,薄田斬雲,薄田,斬雲,すすきだ,ざんうん,すすきた,さんうん,Susukida,Zan'un,1877-01-27,1956-03-27,なし
1849,関根秀雄,関根,秀雄,せきね,ひでお,せきね,ひてお,Sekine,Hideo,1895-09-17,1987-07-27,あり
1213,瀬沼夏葉,瀬沼,夏葉,せぬま,かよう,せぬま,かよう,Senuma,Kayo,1875-12-11,1915-02-28,なし
913,sogo,sogo,,そごう,,そこう,,Sogo,,,,あり
621,高垣松雄,高垣,松雄,たかがき,まつお,たかかき,まつお,Takagaki,Matsuo,1890-12-13,1940-09-13,なし
1920,宝探子,宝,探子,たから,さがし,たから,さかし,Takara,Sagashi,,,あり
2053,竹本周平,竹本,周平,たけもと,しゅうへい,たけもと,しゅうへい,Takemoto,Shuhei,,,あり
1767,サキ,サキ,,サキ,,さき,,Saki,,1870-12-18,1916-11-14,なし
1604,桜間中庸,桜間,中庸,さくらま,ちゅうよう,さくらま,ちゆうよう,Sakurama,Chuyo,1911-07-06,1934-04-18,なし
263,佐々木喜善,佐々木,喜善,ささき,きよし,ささき,きよし,Sasaki,Kizen,1886-10-05,1933-09-29,なし
1750,佐々木邦,佐々木,邦,ささき,くに,ささき,くに,Sasaki,Kuni,1883-05-04,1964-09-22,なし
1691,佐佐木信綱,佐佐木,信綱,ささき,のぶつな,ささき,のふつな,Sasaki,Nobutsuna,1872-07-08,1963-12-02,なし
911,ささきふさ,ささき,ふさ,ささき,ふさ,ささき,ふさ,Sasaki,Fusa,1897,1949,なし
1904,佐佐木茂索,佐佐木,茂索,ささき,もさく,ささき,もさく,Sasaki,Mosaku,1894-11-11,1966-12-01,なし
1713,サッフォ,サッフォ,,サッフォ,,さつふお,,Sappho,,紀元前7世紀末,紀元前6世紀初,なし
1614,佐藤武夫,佐藤,武夫,さとう,たけお,さとう,たけお,Sato,Takeo,1906,1929,なし
1763,佐藤春夫,佐藤,春夫,さとう,はるお,さとう,はるお,Sato,Haruo,1892-04-09,1964-05-06,なし
219,里村欣三,里村,欣三,さとむら,きんぞう,さとむら,きんそう,Satomura,Kinzo,1902-03-13,1945-02-23,なし
1227,佐野友三郎,佐野,友三郎,さの,ともさぶろう,さの,ともさふろう,Sano,Tomosaburo,1864-03-10,1920-05-13,なし
166,サマンアルベール,サマン,アルベール,サマン,アルベール,さまん,あるへえる,Samain,Albert,1858,1900,なし
1141,沢田正二郎,沢田,正二郎,さわだ,しょうじろう,さわた,しようしろう,Sawada,Shojiro,1892-05-27,1929-03-04,なし
1932,山東京山,山東,京山,さんとう,きょうざん,さんとう,きようさん,Santo,Kyozan,1769-07-18,1858-10-30,なし
2007,山東京伝,山東,京伝,さんとう,きょうでん,さんとう,きようてん,Santo,Kyoden,1761-09-13,1816-10-27,なし
585,三文字屋金平,三文字屋,金平,さんもんじや,きんぴら,さんもんしや,きんひら,Sanmonjiya,Kinpira,1868-04-05,1929-06-29,なし
1805,三遊亭金馬,三遊亭,金馬,さんゆうてい,きんば,さんゆうてい,きんは,San'yutei,Kinba,1894-10-25,1964-11-08,なし
1925,シートンアーネスト・トンプソン,シートン,アーネスト・トンプソン,シートン,アーネスト・トンプソン,しーとん,あーねすと・とんぷそん,Seton,Ernest Thompson,1860-08-14,1946-10-23,なし
1995,ジェイコブスウイリアム・ワイマーク,ジェイコブス,ウイリアム・ワイマーク,ジェイコブス,ウイリアム・ワイマーク,しえいこふす,ういりあむわいまあく,Jacobs,William Wymark,1863-09-08,1943-09-01,なし
1862,式場隆三郎,式場,隆三郎,しきば,りゅうざぶろう,しきは,りゆうさふろう,Shikiba,Ryuzaburo,1898-07-02,1965-11-21,なし
1794,幣原喜重郎,幣原,喜重郎,しではら,きじゅうろう,してはら,きしゆうろう,Shidehara,Kijuro,1872-09-13,1951-03-10,なし
1832,柴田宵曲,柴田,宵曲,しばた,しょうきょく,しはた,しようきよく,Shibata,Shokyoku,1897-09-02,1966-08-23,なし
1970,島秋人,島,秋人,しま,あきと,しま,あきと,Shima,Akito,1934-06-28,1967-11-02,なし
265,島木赤彦,島木,赤彦,しまぎ,あかひこ,しまき,あかひこ,Shimagi,Akahiko,1876-12-17,1926-03-27,なし
1526,島袋源一郎,島袋,源一郎,しまぶくろ,げんいちろう,しまふくろ,けんいちろう,Shimabukuro,Gen'ichiro,1885-10-05,1942-03-27,なし
1146,清水紫琴,清水,紫琴,しみず,しきん,しみす,しきん,Shimizu,Shikin,1868-01-25,1933-07-31,なし
1615,下川儀太郎,下川,儀太郎,しもかわ,ぎたろう,しもかわ,きたろう,Shimokawa,Gitaro,1904,1961,なし
1696,下村海南,下村,海南,しもむら,かいなん,しもむら,かいなん,Shimomura,Kainan,1875-05-11,1957-12-09,なし
360,シュニッツレルアルツール,シュニッツレル,アルツール,シュニッツレル,アルツール,しゆにつつれる,あるつうる,Schnitzler,Arthur,1862,1931,なし
352,田中早苗,田中,早苗,たなか,さなえ,たなか,さなえ,Tanaka,Sanae,1884,1945,なし
1194,シュミットボンウィルヘルム,シュミットボン,ウィルヘルム,シュミットボン,ウィルヘルム,しゆみつとほん,ういるへるむ,Schmidtbonn,Wilhelm,1876,1952,なし
1551,条野採菊,条野,採菊,じょうの,さいぎく,しようの,さいきく,Jyono,Saigiku,1832,1902-01-24,なし
12,素木しづ,素木,しづ,しらき,しづ,しらき,しつ,Shiraki,Shizu,1895-03-26,1918-01-29,なし
1427,田部隆次,田部,隆次,たなべ,りゅうじ,たなへ,りゆうし,Tanabe,Ryuji,1875-10-20,1957-12-20,なし
956,白柳秀湖,白柳,秀湖,しらやなぎ,しゅうこ,しらやなき,しゆうこ,Shirayanagi,Shuko,1884-01-07,1950-11-09,なし
1485,沈約,沈,約,しん,やく,しん,やく,Shen,Yue,441,513,なし
1938,新村出,新村,出,しんむら,いずる,しんむら,いする,Shinmura,Izuru,1876-10-04,1967-08-17,なし
1607,末吉安持,末吉,安持,すえよし,あんじ,すえよし,あんし,Sueyoshi,Anji,1887,1907,なし
133,菅原孝標女,菅原孝標女,,すがわらたかすえのむすめ,,すかわらたかすえのむすめ,,Sugawara Takasue no musume,,1008,,なし
608,杉村楚人冠,杉村,楚人冠,すぎむら,そじんかん,すきむら,そしんかん,Sugimura,Sojinkan,1872-08-28,1945-10-03,なし
957,鈴木梅太郎,鈴木,梅太郎,すずき,うめたろう,すすき,うめたろう,Suzuki,Umetaro,1874-04-07,1943-09-20,なし
1350,鈴木鼓村,鈴木,鼓村,すずき,こそん,すすき,こそん,Suzuki,Koson,1875,1931-03-12,なし
1833,鈴木大拙,鈴木,大拙,すずき,だいせつ,すすき,たいせつ,Suzuki,Daisetsu,1870-11-11,1966-07-12,なし
101,田宮まや,田宮,まや,たみや,まや,たみや,まや,Tamiya,Maya,,,あり
975,薄田淳介,薄田,淳介,すすきだ,じゅんすけ,すすきた,しゆんすけ,Susukida,Junsuke,1877-05-19,1945-10-09,なし
1985,薄田太郎,薄田,太郎,すすきだ,たろう,すすきた,たろう,Susukida,Taro,1902-11-01,1967-04-23,なし
1145,ストックトンフランシス・リチャード,ストックトン,フランシス・リチャード,ストックトン,フランシス・リチャード,すとつくとん,ふらんしすりちやあと,Stockton,Francis Richard,1834-04-05,1902-04-19,なし
1026,関寛,関,寛,せき,かん,せき,かん,Seki,Kan,1830,1912-10-15,なし
1402,関口存男,関口,存男,せきぐち,つぎお,せきくち,つきお,Sekiguchi,Tsugio,1894-11-21,1958-07-25,なし
1358,関根黙庵,関根,黙庵,せきね,もくあん,せきね,もくあん,Sekine,Mokuan,1863,1923,なし
1606,世礼国男,世礼,国男,せれい,くにお,せれい,くにお,Serei,Kunio,1897-07-20,1950-01-23,なし
617,千家元麿,千家,元麿,せんげ,もとまろ,せんけ,もとまろ,Senge,Motomaro,1888-06-08,1948-03-14,なし
1199,ソログープフョードル,ソログープ,フョードル,ソログープ,フョードル,そろくうふ,ふようとる,Sologub,Fedor,1863-02-17,1927-12-07,なし
1191,高木敏雄,高木,敏雄,たかぎ,としお,たかき,としお,Takagi,Toshio,1876,1922,なし
1371,高頭仁兵衛,高頭,仁兵衛,たかとう,じんべえ,たかとう,しんへえ,Takato,Jinbe,1877-05-20,1958-04-06,なし
116,鷹野つぎ,鷹野,つぎ,たかの,つぎ,たかの,つき,Takano,Tsugi,1890-08-15,1943-03-19,なし
1697,高野六郎,高野,六郎,たかの,ろくろう,たかの,ろくろう,Takano,Rokurou,1884-09-03,1960-12-15,なし
1823,高見順,高見,順,たかみ,じゅん,たかみ,しゆん,Takami,Jun,1907-01-30,1965-08-17,なし
1540,知里真志保,知里,真志保,ちり,ましほ,ちり,ましほ,Chiri,Mashiho,1909-02-24,1961-06-09,なし
1780,高群逸枝,高群,逸枝,たかむれ,いつえ,たかむれ,いつえ,Takamure,Itsue,1894-01-18,1964-06-07,なし
634,田口卯吉,田口,卯吉,たぐち,うきち,たくち,うきち,Taguchi,Ukichi,1855-06-13,1905-04-13,なし
636,竹内勝太郎,竹内,勝太郎,たけうち,かつたろう,たけうち,かつたろう,Takeuchi,Katsutaro,1894-10-20,1935-06-25,なし
1675,竹内浩三,竹内,浩三,たけうち,こうぞう,たけうち,こうそう,Takeuchi,Kozo,1921-05-12,1945-04-09,なし
977,竹越三叉,竹越,三叉,たけこし,さんさ,たけこし,さんさ,Takekoshi,Sansa,1865-11-22,1950-01-12,なし
189,武田麟太郎,武田,麟太郎,たけだ,りんたろう,たけた,りんたろう,Takeda,Rintaro,1904-05-09,1946-03-31,なし
1075,タゴールラビンドラナート,タゴール,ラビンドラナート,タゴール,ラビンドラナート,たこおる,らひんとらなあと,Tagore,Rabindranath,1861-05-06,1941-08-07,なし
1184,手塚寿郎,手塚,寿郎,てづか,すみお,てつか,すみお,Tezuka,Sumio,1887,1943,なし
904,田沢稲舟,田沢,稲舟,たざわ,いなぶね,たさわ,いなふね,Tazawa,Inabune,1874-12-28,1896-09-10,なし
1624,陀田勘助,陀田,勘助,だだ,かんすけ,たた,かんすけ,Dada,Kansuke,1902-01-15,1931-08-22,なし
1782,辰野九紫,辰野,九紫,たつの,きゅうし,たつの,きゆうし,Tatsuno,Kyushi,1892-07-16,1962-08-06,なし
1796,辰野隆,辰野,隆,たつの,ゆたか,たつの,ゆたか,Tatsuno,Yutaka,1888-03-01,1964-02-28,なし
1122,戸川明三,戸川,明三,とがわ,めいぞう,とかわ,めいそう,Togawa,Meizo,1871-02-07,1939-07-09,なし
1610,田辺孝次,田辺,孝次,たなべ,たかつぐ,たなへ,たかつく,Tanabe,Takatsugu,1890,1945,なし
272,谷譲次,谷,譲次,たに,じょうじ,たに,しようし,Tani,Joji,1900-01-17,1935-06-29,なし
273,田畑修一郎,田畑,修一郎,たばた,しゅういちろう,たはた,しゆういちろう,Tabata,Shuichiro,1903-09-02,1943-07-23,なし
1634,田村乙彦,田村,乙彦,たむら,おとひこ,たむら,おとひこ,Tamura,Otohiko,1911-12-10,1945-04-15,なし
1226,田村松魚,田村,松魚,たむら,しょうぎょ,たむら,しようきよ,Tamura,Shogyo,1877,1948,なし
655,田村俊子,田村,俊子,たむら,としこ,たむら,としこ,Tamura,Toshiko,1884-04-25,1945-04-16,なし
678,富永太郎,富永,太郎,とみなが,たろう,とみなか,たろう,Tominaga,Taro,1901-05-04,1925-11-12,なし
1635,丹沢明,丹沢,明,たんざわ,あきら,たんさわ,あきら,Tanzawa,Akira,1904,1944,なし
274,談洲楼燕枝　二代,談洲楼,燕枝　二代,だんしゅうろう,えんし　にだい,たんしゆうろう,えんしにたい,Danshuro,Enshi Nidai,1879,1935,なし
1722,ダンセイニロード,ダンセイニ,ロード,ダンセイニ,ロード,たんせいに,ろおと,Dunsany,Lord,1878-07-24,1957-10-25,なし
1557,丹波敬三,丹波,敬三,たんば,けいぞう,たんは,けいそう,Tanba,Keizo,1854,1927,なし
365,チリコフオイゲン,チリコフ,オイゲン,チリコフ,オイゲン,ちりこふ,おいけん,Chirikov,Evgenii,1864,1932,なし
1057,陳玄祐,陳,玄祐,ちん,げんゆう,ちん,けんゆう,Chen,Xuanyou,,,なし
1876,塚原健二郎,塚原,健二郎,つかはら,けんじろう,つかはら,けんしろう,Tsukahara,Kenjiro,1895-02-16,1965-08-07,なし
660,塚原渋柿園,塚原,渋柿園,つかはら,じゅうしえん,つかはら,しゆうしえん,Tsukahara,Jushien,1848-04-04,1917-07-05,なし
934,塚原蓼洲,塚原,蓼洲,つかはら,りょうしゅう,つかはら,りようしゆう,Tsukahara,Ryoshu,1848-03-01,1917-07-05,なし
277,辻村伊助,辻村,伊助,つじむら,いすけ,つしむら,いすけ,Tsujimura,Isuke,1886-04-22,1923-09-01,なし
1671,津田黄昏,津田,黄昏,つだ,たそがれ,つた,たそかれ,Tsuda,Tasogare,1873-10-03,1961-12-04,なし
1322,津田真道,津田,真道,つだ,まみち,つた,まみち,Tsuda,Mamichi,1829-07-25,1903-09-03,なし
344,土田杏村,土田,杏村,つちだ,きょうそん,つちた,きようそん,Tsuchida,Kyoson,1891-01-15,1934-04-25,なし
87,綱島梁川,綱島,梁川,つなしま,りょうせん,つなしま,りようせん,Tsunashima,Ryosen,1873-05-27,1907-09-14,なし
1939,恒藤恭,恒藤,恭,つねとう,きょう,つねとう,きよう,Tsuneto,Kyo,1888-12-03,1967-11-02,なし
1674,鶴彬,鶴,彬,つる,あきら,つる,あきら,Tsuru,Akira,1909-01-01,1938-09-14,なし
884,ディモフオシップ,ディモフ,オシップ,ディモフ,オシップ,ていもふ,おしつふ,Dymow,Ossip,1878,1959,なし
1087,デフォーダニエル,デフォー,ダニエル,デフォー,ダニエル,てふおお,たにえる,Defoe,Daniel,1659,1731-04-26,なし
1084,寺島柾史,寺島,柾史,てらしま,まさし,てらしま,まさし,Terashima,Masashi,1893-10-24,1952,なし
1198,土井八枝,土井,八枝,どい,やえ,とい,やえ,Doi,Yae,1879-02-21,1948-05-10,なし
1135,ド・ヴィルヌーヴガブリエル=シュザンヌ・バルボ,ド・ヴィルヌーヴ,ガブリエル=シュザンヌ・バルボ,ド・ヴィルヌーヴ,ガブリエル=シュザンヌ・バルボ,とういるぬうう,かふりえるしゆさんぬはるほ,de Villeneuve,Gabrielle-Susanne Barbot,1695,1755,なし
1654,濤音,濤音,,とうおん,,とうおん,,Toon,,1888-05-28,1953-11-23,なし
1181,ドーデアルフォンス,ドーデ,アルフォンス,ドーデ,アルフォンス,とおて,あるふおんす,Daudet,Alphonse,1840-03-13,1897-12-17,なし
1788,十返肇,十返,肇,とがえり,はじめ,とかえり,はしめ,Togaeri,Hajime,1914-03-25,1963-08-28,なし
669,戸川秋骨,戸川,秋骨,とがわ,しゅうこつ,とかわ,しゆうこつ,Togawa,Shukotsu,1871-02-07,1939-07-09,なし
1968,時枝誠記,時枝,誠記,ときえだ,もとき,ときえた,もとき,Tokieda,Motoki,1900-12-06,1967-10-27,なし
1369,徳富蘇峰,徳富,蘇峰,とくとみ,そほう,とくとみ,そほう,Tokutomi,Soho,1863-01-25,1957-11-02,なし
1611,徳永保之助,徳永,保之助,とくなが,やすのすけ,とくなか,やすのすけ,Tokunaga,Yasunosuke,1889-08-10,1925-12-13,なし
1658,渡久山水鳴,渡久山,水鳴,とくやま,すいめい,とくやま,すいめい,Tokuyama,Suimei,1884,1911,なし
1455,登張竹風,登張,竹風,とばり,ちくふう,とはり,ちくふう,Tobari,Chikufu,1873-10-02,1955-01-06,なし
149,富岡誠,富岡,誠,とみおか,まこと,とみおか,まこと,Tomioka,Makoto,1897-01-01,1926-10-15,なし
1715,富沢赤黄男,富沢,赤黄男,とみざわ,かきお,とみさわ,かきお,Tomizawa,Kakio,1902-07-14,1962-03-07,なし
1958,富田常雄,富田,常雄,とみた,つねお,とみた,つねお,Tomita,Tsuneo,1904-01-01,1967-10-16,なし
677,富田木歩,富田,木歩,とみた,もっぽ,とみた,もつほ,Tomita,Moppo,1897-04-14,1923-09-01,なし
282,富ノ沢麟太郎,富ノ沢,麟太郎,とみのさわ,りんたろう,とみのさわ,りんたろう,Tominosawa,Rintaro,1899-03-25,1925-02-24,なし
923,朝永三十郎,朝永,三十郎,ともなが,さんじゅうろう,ともなか,さんしゆうろう,Tomonaga,Sanjuro,1871-02-05,1951-09-18,なし
1161,鳥谷部春汀,鳥谷部,春汀,とやべ,しゅんてい,とやへ,しゆんてい,Toyabe,Shuntei,1865-03-29,1908-12-21,なし
47,長尾高弘,長尾,高弘,ながお,たかひろ,なかお,たかひろ,Nagao,Takahiro,1960,,あり
692,中島孤島,中島,孤島,なかじま,ことう,なかしま,ことう,Nakajima,Koto,1878-10-27,1946-04-09,なし
1851,中島英之,中島,英之,なかじま,ひでゆき,なかしま,ひでゆき,Nakajima,Hideyuki,1942,,あり
1362,豊田喜一郎,豊田,喜一郎,とよだ,きいちろう,とよた,きいちろう,Toyoda,Kiichiro,1894-06-11,1952-03-27,なし
1900,ドロステ＝ヒュルスホフアネッテ・フォン,ドロステ＝ヒュルスホフ,アネッテ・フォン,ドロステ＝ヒュルスホフ,アネッテ・フォン,とろすてひゆるすほふ,あねつてふおん,Droste-Hülshoff,Annette von,1797-01-10,1848-05-25,なし
2045,中村喜治,中村,喜治,なかむら,よしはる,なかむら,よしはる,Nakamura,Yoshiharu,,,あり
1799,中勘助,中,勘助,なか,かんすけ,なか,かんすけ,Naka,Kansuke,1885-05-22,1965-05-03,なし
1061,中山省三郎,中山,省三郎,なかやま,しょうざぶろう,なかやま,しようさふろう,Nakayama,Sgozaburo,1904-1-28,1947-5-30,なし
1410,奈倉次郎,奈倉,次郎,なくら,じろう,なくら,しろう,Nakura,Jiro,1871,1947,なし
869,永崎貢,永崎,貢,ながさき,みつぐ,なかさき,みつく,Nagasaki,Mitsugu,1908-11-23,1934-12-12,なし
690,中沢臨川,中沢,臨川,なかざわ,りんせん,なかさわ,りんせん,Nakazawa,Rinsen,1878-10-28,1920-08-09,なし
1655,長沢佑,長沢,佑,ながさわ,たすく,なかさわ,たすく,Nagasawa,Tasuku,1910-02-17,1933-02-17,なし
1910,中島哀浪,中島,哀浪,なかじま,あいろう,なかしま,あいろう,Nakajima,Airo,1883-07-30,1966-10-29,なし
1636,中島葉那子,中島,葉那子,なかじま,はなこ,なかしま,はなこ,Nakajima,Hanako,1909-12-20,1939-04-20,なし
697,中戸川吉二,中戸川,吉二,なかとがわ,きちじ,なかとかわ,きちし,Nakatogawa,Kichiji,1896-05-20,1942-11-19,なし
1637,中野鈴子,中野,鈴子,なかの,すずこ,なかの,すすこ,Nakano,Suzuko,1906-01-24,1958-01-05,なし
1905,中野秀人,中野,秀人,なかの,ひでと,なかの,ひてと,Nakano,Hideto,1898-05-17,1966-05-13,なし
1008,中浜哲,中浜,哲,なかはま,てつ,なかはま,てつ,Nakahama,Tetsu,1897-01-01,1926-10-15,なし
1667,仲村渠,仲村,渠,なかむら,かれ,なかむら,かれ,Nakamura,Kare,1905-10-03,1951-12-04,なし
1996,中村研一,中村,研一,なかむら,けんいち,なかむら,けんいち,Nakamura,Ken'ichi,1895-05-14,1967-08-28,なし
702,中村憲吉,中村,憲吉,なかむら,けんきち,なかむら,けんきち,Nakamura,Kenkichi,1889-01-25,1934-05-05,なし
1954,中村清太郎,中村,清太郎,なかむら,せいたろう,なかむら,せいたろう,Nakamura,Seitaro,1888-04-30,1967-12-20,なし
1822,中村地平,中村,地平,なかむら,ちへい,なかむら,ちへい,Nakamura,Chihei,1908-02-07,1963-02-26,なし
1171,日本童話研究会,日本童話研究会,,にほんどうわけんきゅうかい,,にほんとうわけんきゆうかい,,Nihon Dowa Kenkyukai,,,,なし
181,能美武功,能美,武功,のうみ,たけのり,のうみ,たけのり,Nomi,Takenori,,,あり
1436,中山啓,中山,啓,なかやま,けい,なかやま,けい,Nakayama,Kei,1895-04-26,1957-10-02,なし
1587,楢崎竜,楢崎,竜,ならさき,りょう,ならさき,りよう,Narasaki,Ryou,1841-07-23,1906-01-15,なし
1943,成沢玲川,成沢,玲川,なるさわ,れいせん,なるさわ,れいせん,Narusawa,Reisen,1877-12-14,1962-10-20,なし
1323,西周,西,周,にし,あまね,にし,あまね,Nishi,Amane,1829-03-07,1897-01-31,なし
1163,仁科芳雄,仁科,芳雄,にしな,よしお,にしな,よしお,Nishina,Yoshio,1890-12-06,1951-01-10,なし
1617,西村陽吉,西村,陽吉,にしむら,ようきち,にしむら,ようきち,Nishimura,Yokichi,1892-04-09,1959-03-22,なし
1776,蜷川新,蜷川,新,にながわ,あらた,になかわ,あらた,Ninagawa,Arata,1873-01-14,1959-08-17,なし
1359,沼田一雅,沼田,一雅,ぬまた,いちが,ぬまた,いちか,Numata,Ichiga,1873-05-05,1954-06-05,なし
1618,根岸正吉,根岸,正吉,ねぎし,しょうきち,ねきし,しようきち,Negishi,Shokichi,1892,1922,なし
1706,ネグリアダ,ネグリ,アダ,ネグリ,アダ,ねくり,あた,Negri,Ada,1870-02-03,1945-01-11,なし
1927,野上彰,野上,彰,のがみ,あきら,のかみ,あきら,Nogami,Akira,1909-02-15,1967-11-04,なし
939,野口米次郎,野口,米次郎,のぐち,よねじろう,のくち,よねしろう,Noguchi,Yonejiro,1875-12-08,1947-07-13,なし
1188,野中至,野中,至,のなか,いたる,のなか,いたる,Nonaka,Itaru,1867-09-19,1955-02-28,なし
1912,野間清六,野間,清六,のま,せいろく,のま,せいろく,Noma,Seiroku,1902-02-12,1966-12-13,なし
1802,野村あらえびす,野村,あらえびす,のむら,あらえびす,のむら,あらえひす,Nomura,Araebisu,1882-10-15,1963-04-14,なし
1670,野村胡堂,野村,胡堂,のむら,こどう,のむら,ことう,Nomura,Kodo,1882-10-15,1963-04-14,なし
128,長谷悟,長谷,悟,はせ,さとる,はせ,さとる,Hase,Satoru,,,あり
1619,野村吉哉,野村,吉哉,のむら,よしや,のむら,よしや,Nomura,Yoshiya,1901-11-15,1940-08-29,なし
287,野呂栄太郎,野呂,栄太郎,のろ,えいたろう,のろ,えいたろう,Noro,Eitaro,1900-04-30,1934-02-19,なし
1299,ハイドダグラス,ハイド,ダグラス,ハイド,ダグラス,はいと,たくらす,Hyde,Douglas,1860-01-17,1949-07-12,なし
725,萩原恭次郎,萩原,恭次郎,はぎわら,きょうじろう,はきわら,きようしろう,Hagiwara,Kyojiro,1899-05-23,1938-11-22,なし
88,長谷川集平,長谷川,集平,はせがわ,しゅうへい,はせかわ,しゆうへい,Hasegawa,Shuhei,1955,,あり
1878,早川健治,早川,健治,はやかわ,けんじ,はやかわ,けんし,Hayakawa,Kenji,1989,,あり
900,橋本五郎,橋本,五郎,はしもと,ごろう,はしもと,ころう,Hashimoto,Goro,1903-05-01,1948-05-29,なし
1752,橋本多佳子,橋本,多佳子,はしもと,たかこ,はしもと,たかこ,Hashimoto,Takako,1898-01-05,1963-05-29,なし
1412,林田清明,林田,清明,はやしだ,せいめい,はやした,せいめい,Hayashida,Seimei,,,あり
1726,長谷川伸,長谷川,伸,はせがわ,しん,はせかわ,しん,Hasegawa,Shin,1884-03-15,1963-06-11,なし
1338,羽仁もと子,羽仁,もと子,はに,もとこ,はに,もとこ,Hani,Motoko,1873-09-08,1957-04-07,なし
1989,早川鮎子,早川,鮎子,はやかわ,あゆこ,はやかわ,あゆこ,Hayakawa,Ayuko,1936,1967,なし
1972,林譲治,林,譲治,はやし,じょうじ,はやし,しようし,Hayashi,Joji,1889-03-24,1960-04-05,なし
1901,番匠谷英一,番匠谷,英一,ばんしょうや,えいいち,はんしようや,えいいち,Banshoya,Eiichi,1895-08-14,1966-06-17,なし
208,平井肇,平井,肇,ひらい,はじめ,ひらい,はしめ,Hirai,Hajime,1896-05-17,1946-07-07,なし
292,原田皐月,原田,皐月,はらだ,さつき,はらた,さつき,Harada,Satsuki,1887,1933,なし
1620,波立一,波立,一,はりゅう,はじめ,はりゆう,はしめ,Haryu,Hajime,1908,1937,なし
1714,平野零児,平野,零児,ひらの,れいじ,ひらの,れいし,Hirano,Reiji,1897-02-06,1961-08-26,なし
1280,hiro,hiro,,ひろ,,ひろ,,hiro,,,,あり
1979,菱山修三,菱山,修三,ひしやま,しゅうぞう,ひしやま,しゆうそう,Hishiyama,Shuzo,1909-08-28,1967-08-07,なし
1809,人見絹枝,人見,絹枝,ひとみ,きぬえ,ひとみ,きぬえ,Hitomi,Kinue,1907-01-01,1931-08-02,なし
1167,日野強,日野,強,ひの,つとむ,ひの,つとむ,Hino,Tsutomu,1866-01-23,1920-12-23,なし
1986,秘田余四郎,秘田,余四郎,ひめだ,よしろう,ひめた,よしろう,Himeda,Yoshiro,1908-10-15,1967-09-18,なし
1158,ビョルンソンビョルンステェルネ,ビョルンソン,ビョルンステェルネ,ビョルンソン,ビョルンステェルネ,ひよるんそん,ひよるんすてえるね,Bjornson,Bjornstjerne,1832-12-08,1910-04-26,なし
1360,平井金三,平井,金三,ひらい,きんぞう,ひらい,きんそう,Hirai,Kinzo,1859,1916,なし
80,平出修,平出,修,ひらいで,しゅう,ひらいて,しゆう,Hiraide,Shu,1878-04-03,1914-03-17,なし
343,平田禿木,平田,禿木,ひらた,とくぼく,ひらた,とくほく,Hirata,Tokuboku,1873-02-10,1943-03-13,なし
1378,平野長蔵,平野,長蔵,ひらの,ちょうぞう,ひらの,ちようそう,Hirano,Chozo,1870-09-05,1930-08-20,なし
294,平野万里,平野,万里,ひらの,ばんり,ひらの,はんり,Hirano,Banri,1885-05-25,1947-02-10,なし
1233,福永渙,福永,渙,ふくなが,きよし,ふくなか,きよし,Fukunaga,Kiyoshi,1886-03-22,1936-05-05,なし
1886,藤井英男,藤井,英男,ふじい,ひでお,ふしい,ひてお,Fujii,Hideo,,,あり
1137,婦人文化研究会,婦人文化研究会,,ふじんぶんかけんきゅうかい,,ふしんふんかけんきゆうかい,,Fujinbunkakenkyukai,,,,なし
1638,平林彪吾,平林,彪吾,ひらばやし,ひょうご,ひらはやし,ひようこ,Hirabayashi,Shogo,1903-09-01,1939-04-28,なし
